Year,Paid rental fees for housing,Rent on Interest
1993,9123900000.00,9123900000.00
1994,9521800000.00,9137585850.00
1995,9865600000.00,9332216428.61
1996,10183400000.00,9484331556.39
1997,10476100000.00,9640823027.07
1998,10790100000.00,9735303092.74
1999,11175300000.00,9905670896.86
2000,11592500000.00,10176095712.34
2001,12080600000.00,10435586153.01
2002,12756400000.00,10670386841.45
2003,13293600000.00,10967023595.64
2004,13755900000.00,11167720127.44
2005,14148500000.00,11416760286.29
2006,14698000000.00,11648520520.10
2007,15268800000.00,11898963711.28
2008,15786500000.00,12182159047.61
2009,16162300000.00,12218705524.75
2010,16813600000.00,12436198483.09
2011,17577100000.00,12796848239.10
2012,18227300000.00,12995199386.81
2013,18991000000.00,13112156181.29
2014,19708000000.00,13361287148.73
2015,20587200000.00,13512269693.51
2016,21384000000.00,13708197604.07
2017,22194000000.00,13927528765.74
2018,23074800000.00,14247861927.35
2019,24448700000.00,14525695234.93
2020,25489600000.00,14624469962.53
2021,26718900000.00,15126089282.24
