Year,Clothing and footwear
1993,9260500000.00
1994,9579200000.00
1995,9821000000.00
1996,9796000000.00
1997,10242800000.00
1998,10763400000.00
1999,11424200000.00
2000,12108400000.00
2001,12488700000.00
2002,12825200000.00
2003,12934700000.00
2004,13252000000.00
2005,13437700000.00
2006,13999200000.00
2007,14432800000.00
2008,14453400000.00
2009,14079700000.00
2010,14817500000.00
2011,15320100000.00
2012,15475000000.00
2013,15976000000.00
2014,16770400000.00
2015,17879600000.00
2016,18263400000.00
2017,19296800000.00
2018,19766100000.00
2019,20428500000.00
2020,15243900000.00
2021,17352600000.00
