Year,Clothing and footwear,Clothing and Footwear using CPI
1993,9260500000.00,9260500000.00
1994,9579200000.00,9274390750.00
1995,9821000000.00,9471935272.98
1996,9796000000.00,9626327817.92
1997,10242800000.00,9785162226.92
1998,10763400000.00,9881056816.74
1999,11424200000.00,10053975311.04
2000,12108400000.00,10328448837.03
2001,12488700000.00,10591824282.37
2002,12825200000.00,10830140328.73
2003,12934700000.00,11131218229.86
2004,13252000000.00,11334919523.47
2005,13437700000.00,11587688228.84
2006,13999200000.00,11822918299.89
2007,14432800000.00,12077111043.34
2008,14453400000.00,12364546286.17
2009,14079700000.00,12401639925.03
2010,14817500000.00,12622389115.69
2011,15320100000.00,12988438400.05
2012,15475000000.00,13189759195.25
2013,15976000000.00,13308467028.01
2014,16770400000.00,13561327901.54
2015,17879600000.00,13714570906.83
2016,18263400000.00,13913432184.97
2017,19296800000.00,14136047099.93
2018,19766100000.00,14461176183.23
2019,20428500000.00,14743169118.81
2020,15243900000.00,14843422668.81
2021,17352600000.00,15352552066.35
